Parameter tuning of ¡®knn.wrapper¡¯:
6   0.015 0.25 0.2880260 0.01741168
7   0.016 0.25 0.2875476 0.01793663
8   0.017 0.25 0.2875476 0.01793663
9   0.018 0.25 0.2875476 0.01793663
10  0.019 0.25 0.2880260 0.01741168
11  0.020 0.25 0.2880260 0.01741168
12  0.021 0.25 0.2880260 0.01741168
13  0.022 0.25 0.2880260 0.01741168
14  0.023 0.25 0.2885045 0.01700557
15  0.024 0.25 0.2885045 0.01700557
16  0.025 0.25 0.2885045 0.01700557
17  0.026 0.25 0.2885045 0.01700557
18  0.027 0.25 0.2885045 0.01700557
19  0.028 0.25 0.2885045 0.01700557
20  0.029 0.25 0.2885045 0.01700557
21  0.030 0.25 0.2885045 0.01700557
22  0.031 0.25 0.2885045 0.01700557
23  0.032 0.25 0.2885045 0.01700557
24  0.033 0.25 0.2885045 0.01700557
25  0.034 0.25 0.2885045 0.01700557
26  0.035 0.25 0.2885045 0.01700557
27  0.036 0.25 0.2885045 0.01700557
28  0.037 0.25 0.2885045 0.01700557
29  0.038 0.25 0.2885045 0.01700557
30  0.039 0.25 0.2885045 0.01700557
31  0.040 0.25 0.2885045 0.01700557
32  0.041 0.25 0.2885045 0.01700557
33  0.042 0.25 0.2885045 0.01700557
34  0.043 0.25 0.2885045 0.01700557
35  0.044 0.25 0.2885045 0.01700557
36  0.045 0.25 0.2885045 0.01700557
37  0.046 0.25 0.2885045 0.01700557
38  0.047 0.25 0.2885045 0.01700557
39  0.048 0.25 0.2885045 0.01700557
40  0.049 0.25 0.2885045 0.01700557
41  0.050 0.25 0.2885045 0.01700557
42  0.051 0.25 0.2885045 0.01700557
43  0.052 0.25 0.2885045 0.01700557
44  0.053 0.25 0.2885045 0.01700557
45  0.054 0.25 0.2885045 0.01700557
46  0.055 0.25 0.2885045 0.01700557
47  0.056 0.25 0.2885045 0.01700557
48  0.057 0.25 0.2885045 0.01700557
49  0.058 0.25 0.2885045 0.01700557
50  0.059 0.25 0.2885045 0.01700557
51  0.060 0.25 0.2885045 0.01700557
52  0.061 0.25 0.2885045 0.01700557
53  0.062 0.25 0.2885045 0.01700557
54  0.063 0.25 0.2885045 0.01700557
55  0.064 0.25 0.2885045 0.01700557
56  0.065 0.25 0.2885045 0.01700557
57  0.066 0.25 0.2885045 0.01700557
58  0.067 0.25 0.2885045 0.01700557
59  0.068 0.25 0.2885045 0.01700557
60  0.069 0.25 0.2885045 0.01700557
61  0.070 0.25 0.2885045 0.01700557
62  0.071 0.25 0.2885045 0.01700557
63  0.072 0.25 0.2885045 0.01700557
64  0.073 0.25 0.2885045 0.01700557
65  0.074 0.25 0.2885045 0.01700557
66  0.075 0.25 0.2885045 0.01700557
67  0.076 0.25 0.2885045 0.01700557
68  0.077 0.25 0.2885045 0.01700557
69  0.078 0.25 0.2885045 0.01700557
70  0.079 0.25 0.2885045 0.01700557
71  0.080 0.25 0.2885045 0.01700557
72  0.081 0.25 0.2885045 0.01700557
73  0.082 0.25 0.2885045 0.01700557
74  0.083 0.25 0.2885045 0.01700557
75  0.084 0.25 0.2885045 0.01700557
76  0.085 0.25 0.2885045 0.01700557
77  0.086 0.25 0.2885045 0.01700557
78  0.087 0.25 0.2885045 0.01700557
79  0.088 0.25 0.2885045 0.01700557
80  0.089 0.25 0.2885045 0.01700557
81  0.090 0.25 0.2885045 0.01700557
82  0.091 0.25 0.2885045 0.01700557
83  0.092 0.25 0.2885045 0.01700557
84  0.093 0.25 0.2885045 0.01700557
85  0.094 0.25 0.2885045 0.01700557
86  0.095 0.25 0.2885045 0.01700557
87  0.096 0.25 0.2885045 0.01700557
88  0.097 0.25 0.2885045 0.01700557
89  0.098 0.25 0.2885045 0.01700557
90  0.099 0.25 0.2885045 0.01700557
91  0.100 0.25 0.2885045 0.01700557
92  0.010 0.50 0.2859548 0.01981259
93  0.011 0.50 0.2848643 0.02146445
94  0.012 0.50 0.2838277 0.02289344
95  0.013 0.50 0.2828661 0.02149261
96  0.014 0.50 0.2809259 0.02239660
97  0.015 0.50 0.2804284 0.02188937
98  0.016 0.50 0.2794760 0.02274511
99  0.017 0.50 0.2794760 0.02274511
100 0.018 0.50 0.2795324 0.02186029
101 0.019 0.50 0.2769830 0.02435801
102 0.020 0.50 0.2760121 0.02373233
103 0.021 0.50 0.2775132 0.02237848
104 0.022 0.50 0.2760610 0.02211521
105 0.023 0.50 0.2776046 0.02161859
106 0.024 0.50 0.2785615 0.02135355
107 0.025 0.50 0.2785737 0.02151777
108 0.026 0.50 0.2785714 0.02125012
109 0.027 0.50 0.2796179 0.02031763
110 0.028 0.50 0.2816046 0.01901396
111 0.029 0.50 0.2826412 0.01767746
112 0.030 0.50 0.2836661 0.01679103
113 0.031 0.50 0.2831220 0.01860875
114 0.032 0.50 0.2822236 0.01922366
115 0.033 0.50 0.2822474 0.01985933
116 0.034 0.50 0.2812689 0.01882479
117 0.035 0.50 0.2817451 0.01833437
118 0.036 0.50 0.2817329 0.01812896
119 0.037 0.50 0.2822304 0.01869974
120 0.038 0.50 0.2822066 0.01846579
121 0.039 0.50 0.2821148 0.01887330
122 0.040 0.50 0.2826026 0.01881949
123 0.041 0.50 0.2826026 0.01881949
124 0.042 0.50 0.2831001 0.01862070
125 0.043 0.50 0.2831001 0.01862070
126 0.044 0.50 0.2831001 0.01862070
127 0.045 0.50 0.2826217 0.01884042
128 0.046 0.50 0.2826681 0.01871886
129 0.047 0.50 0.2826681 0.01871886
130 0.048 0.50 0.2831583 0.01810779
131 0.049 0.50 0.2831583 0.01810779
132 0.050 0.50 0.2831583 0.01810779
133 0.051 0.50 0.2831583 0.01810779
134 0.052 0.50 0.2836368 0.01786310
135 0.053 0.50 0.2841270 0.01734565
136 0.054 0.50 0.2836485 0.01761233
137 0.055 0.50 0.2836485 0.01761233
138 0.056 0.50 0.2841270 0.01848163
139 0.057 0.50 0.2841270 0.01848163
140 0.058 0.50 0.2850816 0.01803058
141 0.059 0.50 0.2855601 0.01897477
142 0.060 0.50 0.2855601 0.01897477
143 0.061 0.50 0.2855601 0.01897477
144 0.062 0.50 0.2860363 0.01890591
145 0.063 0.50 0.2865363 0.01834556
146 0.064 0.50 0.2865363 0.01834556
147 0.065 0.50 0.2865363 0.01834556
148 0.066 0.50 0.2865363 0.01834556
149 0.067 0.50 0.2865363 0.01834556
150 0.068 0.50 0.2870363 0.01790771
151 0.069 0.50 0.2875241 0.01784968
152 0.070 0.50 0.2875241 0.01784968
153 0.071 0.50 0.2875241 0.01784968
154 0.072 0.50 0.2875241 0.01784968
155 0.073 0.50 0.2875241 0.01784968
156 0.074 0.50 0.2875241 0.01784968
157 0.075 0.50 0.2875241 0.01784968
158 0.076 0.50 0.2875241 0.01784968
159 0.077 0.50 0.2875241 0.01784968
160 0.078 0.50 0.2880143 0.01736368
161 0.079 0.50 0.2880143 0.01736368
162 0.080 0.50 0.2880143 0.01736368
163 0.081 0.50 0.2880143 0.01736368
164 0.082 0.50 0.2880143 0.01736368
165 0.083 0.50 0.2880143 0.01736368
166 0.084 0.50 0.2880143 0.01736368
167 0.085 0.50 0.2880143 0.01736368
168 0.086 0.50 0.2880143 0.01736368
169 0.087 0.50 0.2880143 0.01736368
170 0.088 0.50 0.2880143 0.01736368
171 0.089 0.50 0.2880143 0.01736368
172 0.090 0.50 0.2880143 0.01736368
173 0.091 0.50 0.2880143 0.01736368
174 0.092 0.50 0.2880143 0.01736368
175 0.093 0.50 0.2880143 0.01736368
176 0.094 0.50 0.2880143 0.01736368
177 0.095 0.50 0.2885045 0.01700557
178 0.096 0.50 0.2885045 0.01700557
179 0.097 0.50 0.2885045 0.01700557
180 0.098 0.50 0.2885045 0.01700557
181 0.099 0.50 0.2885045 0.01700557
182 0.100 0.50 0.2885045 0.01700557
183 0.010 0.75 0.2754212 0.02628506
184 0.011 0.75 0.2740673 0.02233398
185 0.012 0.75 0.2725729 0.02206695
186 0.013 0.75 0.2726173 0.01881890
187 0.014 0.75 0.2695467 0.02153010
188 0.015 0.75 0.2680667 0.02163288
189 0.016 0.75 0.2655565 0.02257888
190 0.017 0.75 0.2665185 0.02427857
191 0.018 0.75 0.2656276 0.02364486
192 0.019 0.75 0.2626632 0.02449051
193 0.020 0.75 0.2626487 0.02398096
194 0.021 0.75 0.2631923 0.02244170
195 0.022 0.75 0.2632413 0.02125440
196 0.023 0.75 0.2627462 0.01981375
197 0.024 0.75 0.2603044 0.01867543
198 0.025 0.75 0.2593162 0.01841956
199 0.026 0.75 0.2587884 0.01865498
200 0.027 0.75 0.2588079 0.01950158
201 0.028 0.75 0.2604007 0.01776709
202 0.029 0.75 0.2627927 0.01776504
203 0.030 0.75 0.2653537 0.01547971
204 0.031 0.75 0.2654099 0.01655503
205 0.032 0.75 0.2664685 0.01620026
206 0.033 0.75 0.2669661 0.01651796
207 0.034 0.75 0.2678578 0.01796472
208 0.035 0.75 0.2688456 0.01787022
209 0.036 0.75 0.2698944 0.01686662
210 0.037 0.75 0.2713415 0.01669876
211 0.038 0.75 0.2738732 0.01577874
212 0.039 0.75 0.2734016 0.01680559
213 0.040 0.75 0.2728994 0.01828508
214 0.041 0.75 0.2728897 0.01752342
215 0.042 0.75 0.2728897 0.01752342
216 0.043 0.75 0.2738682 0.01773235
217 0.044 0.75 0.2738119 0.01756342
218 0.045 0.75 0.2738119 0.01756342
219 0.046 0.75 0.2738523 0.01808145
220 0.047 0.75 0.2739012 0.01736598
221 0.048 0.75 0.2748652 0.01662402
222 0.049 0.75 0.2753413 0.01793178
223 0.050 0.75 0.2762539 0.02025010
224 0.051 0.75 0.2767086 0.01945083
225 0.052 0.75 0.2782054 0.01884798
226 0.053 0.75 0.2782029 0.01909633
227 0.054 0.75 0.2782029 0.01909633
228 0.055 0.75 0.2781791 0.01886165
229 0.056 0.75 0.2782256 0.01842453
230 0.057 0.75 0.2782256 0.01842453
231 0.058 0.75 0.2787134 0.01834021
232 0.059 0.75 0.2792598 0.01787211
233 0.060 0.75 0.2792598 0.01787211
234 0.061 0.75 0.2797500 0.01718376
235 0.062 0.75 0.2802378 0.01719933
236 0.063 0.75 0.2802378 0.01719933
237 0.064 0.75 0.2802569 0.01751799
238 0.065 0.75 0.2802569 0.01751799
239 0.066 0.75 0.2797569 0.01791024
240 0.067 0.75 0.2807329 0.01796087
241 0.068 0.75 0.2807329 0.01796087
242 0.069 0.75 0.2807329 0.01796087
243 0.070 0.75 0.2807329 0.01796087
244 0.071 0.75 0.2807446 0.01784958
245 0.072 0.75 0.2812230 0.01738383
246 0.073 0.75 0.2812230 0.01738383
247 0.074 0.75 0.2812230 0.01738383
248 0.075 0.75 0.2817015 0.01833447
249 0.076 0.75 0.2821777 0.01809832
250 0.077 0.75 0.2826777 0.01763414
251 0.078 0.75 0.2826777 0.01763414
252 0.079 0.75 0.2831539 0.01750331
253 0.080 0.75 0.2831539 0.01750331
254 0.081 0.75 0.2831539 0.01750331
255 0.082 0.75 0.2831539 0.01750331
256 0.083 0.75 0.2841226 0.01656102
257 0.084 0.75 0.2841226 0.01656102
258 0.085 0.75 0.2841226 0.01656102
259 0.086 0.75 0.2841226 0.01656102
260 0.087 0.75 0.2841226 0.01656102
261 0.088 0.75 0.2841226 0.01656102
262 0.089 0.75 0.2841226 0.01656102
263 0.090 0.75 0.2841226 0.01656102
264 0.091 0.75 0.2841226 0.01656102
265 0.092 0.75 0.2841226 0.01656102
266 0.093 0.75 0.2841226 0.01656102
267 0.094 0.75 0.2841226 0.01656102
268 0.095 0.75 0.2841226 0.01656102
269 0.096 0.75 0.2841226 0.01656102
270 0.097 0.75 0.2841226 0.01656102
271 0.098 0.75 0.2846201 0.01710691
272 0.099 0.75 0.2851201 0.01670035
273 0.100 0.75 0.2851201 0.01670035
274 0.010 1.00 0.2638368 0.02245911
275 0.011 1.00 0.2619001 0.02390338
276 0.012 1.00 0.2658262 0.02296245
277 0.013 1.00 0.2663419 0.02372925
278 0.014 1.00 0.2662878 0.02140017
279 0.015 1.00 0.2656913 0.02344521
280 0.016 1.00 0.2641834 0.02346138
281 0.017 1.00 0.2661587 0.02113686
282 0.018 1.00 0.2641210 0.02189368
283 0.019 1.00 0.2655710 0.02378514
284 0.020 1.00 0.2649662 0.02652357
285 0.021 1.00 0.2650019 0.02488000
286 0.022 1.00 0.2664349 0.02562173
287 0.023 1.00 0.2659985 0.02528791
288 0.024 1.00 0.2659582 0.02859739
289 0.025 1.00 0.2644894 0.02803991
290 0.026 1.00 0.2636005 0.02504551
291 0.027 1.00 0.2625755 0.02536370
292 0.028 1.00 0.2620596 0.02531345
293 0.029 1.00 0.2606466 0.02227938
294 0.030 1.00 0.2591125 0.02365759
295 0.031 1.00 0.2601002 0.02187594
296 0.032 1.00 0.2610757 0.02080111
297 0.033 1.00 0.2621613 0.01822729
298 0.034 1.00 0.2617460 0.01708889
299 0.035 1.00 0.2618457 0.01700490
300 0.036 1.00 0.2618649 0.01636416
301 0.037 1.00 0.2609641 0.01561965
302 0.038 1.00 0.2624890 0.01593616
303 0.039 1.00 0.2639577 0.01508010
304 0.040 1.00 0.2619380 0.01726774
305 0.041 1.00 0.2633772 0.01952243
306 0.042 1.00 0.2643532 0.02021970
307 0.043 1.00 0.2677921 0.01844341
308 0.044 1.00 0.2673793 0.01701829
309 0.045 1.00 0.2678720 0.01738780
310 0.046 1.00 0.2683551 0.01753637
311 0.047 1.00 0.2688551 0.01797117
312 0.048 1.00 0.2693526 0.01725447
313 0.049 1.00 0.2689231 0.01643318
314 0.050 1.00 0.2688667 0.01645880
315 0.051 1.00 0.2694201 0.01665547
316 0.052 1.00 0.2694201 0.01665547
317 0.053 1.00 0.2699032 0.01850338
318 0.054 1.00 0.2703910 0.01823275
319 0.055 1.00 0.2703207 0.01859440
320 0.056 1.00 0.2717656 0.01782692
321 0.057 1.00 0.2712656 0.01748125
322 0.058 1.00 0.2722200 0.01870430
323 0.059 1.00 0.2717200 0.01868855
324 0.060 1.00 0.2727006 0.01964194
325 0.061 1.00 0.2717342 0.02013337
326 0.062 1.00 0.2712342 0.02024301
327 0.063 1.00 0.2722196 0.01965368
328 0.064 1.00 0.2731933 0.01992912
329 0.065 1.00 0.2731933 0.01992912
330 0.066 1.00 0.2752035 0.01858578
331 0.067 1.00 0.2752035 0.01858578
332 0.068 1.00 0.2767279 0.01746000
333 0.069 1.00 0.2772279 0.01715577
334 0.070 1.00 0.2777255 0.01678746
335 0.071 1.00 0.2772470 0.01716130
336 0.072 1.00 0.2772470 0.01716130
337 0.073 1.00 0.2777301 0.01790953
338 0.074 1.00 0.2772301 0.01821649
339 0.075 1.00 0.2772301 0.01821649
340 0.076 1.00 0.2777179 0.01830594
341 0.077 1.00 0.2781964 0.01794201
342 0.078 1.00 0.2781964 0.01794201
343 0.079 1.00 0.2786939 0.01771564
344 0.080 1.00 0.2786939 0.01771564
345 0.081 1.00 0.2791914 0.01762733
346 0.082 1.00 0.2801676 0.01705809
347 0.083 1.00 0.2811362 0.01748585
348 0.084 1.00 0.2816337 0.01778861
349 0.085 1.00 0.2816337 0.01778861
350 0.086 1.00 0.2816337 0.01778861
351 0.087 1.00 0.2821239 0.01733198
352 0.088 1.00 0.2826215 0.01776192
353 0.089 1.00 0.2826215 0.01776192
354 0.090 1.00 0.2826215 0.01776192
355 0.091 1.00 0.2826215 0.01776192
356 0.092 1.00 0.2826215 0.01776192
357 0.093 1.00 0.2826215 0.01776192
358 0.094 1.00 0.2831679 0.01714027
359 0.095 1.00 0.2831679 0.01714027
360 0.096 1.00 0.2831679 0.01714027
361 0.097 1.00 0.2831679 0.01714027
362 0.098 1.00 0.2836464 0.01672990
363 0.099 1.00 0.2836464 0.01672990
364 0.100 1.00 0.2836464 0.01672990
365 0.010 1.25 0.2622812 0.02645638
366 0.011 1.25 0.2627737 0.02587655
367 0.012 1.25 0.2628198 0.02384710
368 0.013 1.25 0.2613966 0.02181713
369 0.014 1.25 0.2622945 0.02125132
370 0.015 1.25 0.2632309 0.02025713
371 0.016 1.25 0.2622409 0.02104863
372 0.017 1.25 0.2646193 0.02649612
373 0.018 1.25 0.2666015 0.02255389
374 0.019 1.25 0.2657834 0.02033169
375 0.020 1.25 0.2661614 0.02109760
376 0.021 1.25 0.2652140 0.01989704
377 0.022 1.25 0.2632476 0.01965775
378 0.023 1.25 0.2637545 0.01776676
379 0.024 1.25 0.2622274 0.01932541
380 0.025 1.25 0.2631867 0.02027401
381 0.026 1.25 0.2631088 0.02230591
382 0.027 1.25 0.2639863 0.02584867
383 0.028 1.25 0.2639187 0.02685140
384 0.029 1.25 0.2634375 0.02673567
385 0.030 1.25 0.2634604 0.02645431
386 0.031 1.25 0.2644765 0.02396572
387 0.032 1.25 0.2653003 0.02741781
388 0.033 1.25 0.2648731 0.02507929
389 0.034 1.25 0.2609400 0.02541390
390 0.035 1.25 0.2618988 0.02594962
391 0.036 1.25 0.2609579 0.02592492
392 0.037 1.25 0.2619591 0.02728673
393 0.038 1.25 0.2625321 0.02309665
394 0.039 1.25 0.2635665 0.02181315
395 0.040 1.25 0.2641113 0.01975949
396 0.041 1.25 0.2642186 0.01763850
397 0.042 1.25 0.2637777 0.01733111
398 0.043 1.25 0.2622606 0.01936020
399 0.044 1.25 0.2651960 0.02023209
400 0.045 1.25 0.2662326 0.01874815
401 0.046 1.25 0.2677956 0.01710250
402 0.047 1.25 0.2657993 0.01837186
403 0.048 1.25 0.2678149 0.01941325
404 0.049 1.25 0.2687739 0.01770436
405 0.050 1.25 0.2678242 0.01777971
406 0.051 1.25 0.2678313 0.01910495
407 0.052 1.25 0.2687906 0.01938921
408 0.053 1.25 0.2683121 0.01853431
409 0.054 1.25 0.2673692 0.01693398
410 0.055 1.25 0.2678667 0.01704870
411 0.056 1.25 0.2683009 0.01732775
412 0.057 1.25 0.2688640 0.01652979
413 0.058 1.25 0.2688078 0.01688956
414 0.059 1.25 0.2693398 0.01651295
415 0.060 1.25 0.2688542 0.01566982
416 0.061 1.25 0.2693304 0.01550668
417 0.062 1.25 0.2693304 0.01550668
418 0.063 1.25 0.2712679 0.01834376
419 0.064 1.25 0.2702801 0.01828535
420 0.065 1.25 0.2707561 0.01840007
421 0.066 1.25 0.2712392 0.01887363
422 0.067 1.25 0.2717223 0.01945591
423 0.068 1.25 0.2712436 0.01918848
424 0.069 1.25 0.2717198 0.01898903
425 0.070 1.25 0.2717198 0.01898903
426 0.071 1.25 0.2717198 0.01898903
427 0.072 1.25 0.2736454 0.01931456
428 0.073 1.25 0.2756673 0.01760513
429 0.074 1.25 0.2767113 0.01733995
430 0.075 1.25 0.2772064 0.01725687
431 0.076 1.25 0.2762495 0.01778994
432 0.077 1.25 0.2762495 0.01778994
433 0.078 1.25 0.2762495 0.01778994
434 0.079 1.25 0.2762495 0.01778994
435 0.080 1.25 0.2762495 0.01778994
436 0.081 1.25 0.2762495 0.01778994
437 0.082 1.25 0.2772255 0.01711440
438 0.083 1.25 0.2767255 0.01757802
439 0.084 1.25 0.2767255 0.01757802
440 0.085 1.25 0.2772039 0.01737635
441 0.086 1.25 0.2772039 0.01737635
442 0.087 1.25 0.2781895 0.01708192
443 0.088 1.25 0.2781895 0.01708192
444 0.089 1.25 0.2781895 0.01708192
445 0.090 1.25 0.2786679 0.01813760
446 0.091 1.25 0.2786679 0.01813760
447 0.092 1.25 0.2796556 0.01736927
448 0.093 1.25 0.2801387 0.01803738
449 0.094 1.25 0.2806289 0.01763345
450 0.095 1.25 0.2806289 0.01763345
451 0.096 1.25 0.2806289 0.01763345
452 0.097 1.25 0.2806289 0.01763345
453 0.098 1.25 0.2806289 0.01763345
454 0.099 1.25 0.2806289 0.01763345
455 0.100 1.25 0.2806289 0.01763345
456 0.010 1.50 0.2643176 0.02554702
457 0.011 1.50 0.2637816 0.02220917
458 0.012 1.50 0.2642929 0.02162820
459 0.013 1.50 0.2657840 0.02334538
460 0.014 1.50 0.2657908 0.01977975
461 0.015 1.50 0.2683557 0.02003232
462 0.016 1.50 0.2688583 0.01947935
463 0.017 1.50 0.2693744 0.01959155
464 0.018 1.50 0.2674139 0.01731120
465 0.019 1.50 0.2698375 0.01750858
466 0.020 1.50 0.2697244 0.01923370
467 0.021 1.50 0.2682499 0.01744181
468 0.022 1.50 0.2671750 0.02081347
469 0.023 1.50 0.2657469 0.01962224
470 0.024 1.50 0.2651838 0.02272785
471 0.025 1.50 0.2651525 0.02228438
472 0.026 1.50 0.2656023 0.02341576
473 0.027 1.50 0.2650438 0.02433600
474 0.028 1.50 0.2673840 0.02704448
475 0.029 1.50 0.2648907 0.02859963
476 0.030 1.50 0.2668449 0.02825873
477 0.031 1.50 0.2658931 0.02676119
478 0.032 1.50 0.2658391 0.02679500
479 0.033 1.50 0.2654216 0.02556462
480 0.034 1.50 0.2663317 0.02647324
481 0.035 1.50 0.2638925 0.02457813
482 0.036 1.50 0.2643586 0.02478333
483 0.037 1.50 0.2618008 0.02765802
484 0.038 1.50 0.2613339 0.02823194
485 0.039 1.50 0.2643894 0.02588096
486 0.040 1.50 0.2658318 0.02849601
487 0.041 1.50 0.2673727 0.02583926
488 0.042 1.50 0.2654420 0.02511473
489 0.043 1.50 0.2659982 0.02482926
490 0.044 1.50 0.2636592 0.02275803
491 0.045 1.50 0.2656234 0.02133544
492 0.046 1.50 0.2671233 0.02037918
493 0.047 1.50 0.2686086 0.01943134
494 0.048 1.50 0.2687593 0.01650751
495 0.049 1.50 0.2678023 0.01524854
496 0.050 1.50 0.2677930 0.01589293
497 0.051 1.50 0.2682396 0.01707602
498 0.052 1.50 0.2677850 0.01792749
499 0.053 1.50 0.2659033 0.01791510
500 0.054 1.50 0.2663795 0.01786021
501 0.055 1.50 0.2668788 0.01831494
502 0.056 1.50 0.2678880 0.01742329
503 0.057 1.50 0.2678880 0.01742329
504 0.058 1.50 0.2678594 0.01660065
505 0.059 1.50 0.2682722 0.01777160
506 0.060 1.50 0.2677212 0.01906049
507 0.061 1.50 0.2662619 0.01822952
508 0.062 1.50 0.2657644 0.01822478
509 0.063 1.50 0.2667594 0.01680577
510 0.064 1.50 0.2677912 0.01750614
511 0.065 1.50 0.2702240 0.01890513
512 0.066 1.50 0.2697240 0.01868266
513 0.067 1.50 0.2687362 0.01868338
514 0.068 1.50 0.2692146 0.01858566
515 0.069 1.50 0.2697191 0.01943087
516 0.070 1.50 0.2702166 0.01889068
517 0.071 1.50 0.2707461 0.01889529
518 0.072 1.50 0.2707461 0.01889529
519 0.073 1.50 0.2712246 0.01887698
520 0.074 1.50 0.2717124 0.01871507
521 0.075 1.50 0.2732465 0.01806433
522 0.076 1.50 0.2752545 0.01655867
523 0.077 1.50 0.2752711 0.01668595
524 0.078 1.50 0.2747927 0.01698536
525 0.079 1.50 0.2757520 0.01747426
526 0.080 1.50 0.2762495 0.01778994
527 0.081 1.50 0.2762495 0.01778994
528 0.082 1.50 0.2762495 0.01778994
529 0.083 1.50 0.2762495 0.01778994
530 0.084 1.50 0.2767279 0.01746000
531 0.085 1.50 0.2767279 0.01746000
532 0.086 1.50 0.2772064 0.01725687
533 0.087 1.50 0.2767064 0.01771616
534 0.088 1.50 0.2767064 0.01771616
535 0.089 1.50 0.2772039 0.01737635
536 0.090 1.50 0.2777016 0.01700106
537 0.091 1.50 0.2781895 0.01708192
538 0.092 1.50 0.2781895 0.01708192
